"Timestamp","How would you rate your experience level with SymPy?","How useful is the PyData theme?","What do you LIKE about the PyData theme?","What do you DISLIKE about the PyData theme?","How useful is the Book theme?","What do you LIKE about the Book theme?","What do you DISLIKE about the Book theme?","How useful is the Furo theme?","What do you LIKE about the Furo theme?","What do you DISLIKE about the Furo theme?","How useful is the Read the Docs (RTD) theme?","What do you LIKE about the Read the Docs (RTD) theme?","What do you DISLIKE about the Read the Docs (RTD) theme?","Are there any other comments you'd like to make?"
"2022/02/05 12:44:06 PM EST","5","","search easy to find, updating position in doc on right","","3","","I don't like the expandable index as much as I like the top selection of doc + left index; I also find the larger logo overpowering of the important element (like search and index).","3","","bold/highlighting seems a little cartoonish; I prefer a cleaner style","","I like the ""stickies"" like notes on the page and that IDE examples seem less intrusive","I kind of like to know where the Next and Previous buttons are taking me.","Thanks for organizing this!"
"2022/02/05 12:46:56 PM EST","3","2","","","4","","","2","","","2","","",""
"2022/02/05 1:00:40 PM EST","3","","","","","","","","","","","","",""
"2022/02/05 3:31:21 PM EST","4","2","It is a neat theme","Looks kinda incomplete","4","Simple and minimalistic","","2","The sidebar for contents is pretty cool","The lack of a secondary color makes it look unfinished","3","The colors are nice","I'd like the side bar to be collapsible ",""
"2022/02/06 10:11:59 AM EST","5","2","Clear, succint, very little clutter","3 levels of nesting (top, left, right) was not instantly obvious for how to use.","3","Clean, intuitive ","top bar, that menu button, full screen toggle and download button will hardly ever be used, yet they consume precious vertical space.","4","Clean, intuitive and puts all vertical space to use.","Nothing in particular","2","Conventional, i.e. familiar to many users","One cannot expand subsections of the Reference documentation directly to the left, but is forced to click the links in the body. Easier to get lost on big pages since it lacks the ""on-page-navigation"" bar to the right.","None in particular, looks great!"
"2022/02/06 8:55:39 PM EST","4","3","I like the clean layout.","I am bothered by the way useful links switch from side-to-side. I do understand the the links at right are to anchors on the particular page. However, sometimes having links on one side, but not the other did not seem natural and was initially confusing.","3","Good clean styling. Accordion navigation at left. Easy to find way to collapse left hand navigation pane.","","3","Almost as good as book. Clean theme, easy to navigate.","Does not collapse in-page navigation as well as 'book'. Also not as much easy changing of the view.","3","Very familiar interface as this is used by lots of standard documentation. Easy to navigate. All the quicklinks on one side.","Does not have the easy view customization of 'book'","Book is cleaner looking and allows the viewer more adaptations of the display. However, it is likely to be less familiar and a little harder to navigate than rtd for most people. I think either would be acceptable. Book seems a little more 'modern'. The 'modernity' will probably only last for a couple of years as styles change so rapidly."
"2022/02/07 2:44:28 AM EST","3","4","It is neat and simple, with left and right sidebars proving useful. The top sidebar is also quite convenient since scrolling on the left sidebar would be reduced as opposed to themes which lack the top sidebar.","Left sidebar occupies a lot of space on the screen.","4","Collapsible sidebar and full screen mode would help to view docs better once users find what they are looking for.","SymPy logo takes up a lot of space on every page. Code indents seem off in some pages.","3","The inbuilt dark mode could be useful.","SymPy logo takes up a lot of space on every page.","3","User friendly interface. Familiar theme, therefore could attract many users.","Lack of right sidebar to filter topics on a particular page.",""
"2022/02/08 5:26:02 PM EST","1","3","","","3","","","4","I like that right and left menus are collapsable. Many times I checked Sympy documentation using my tablet and I like to have a bigger are dedicated to the document I’m reading.","","3","","I find the other three themes clearer.","All four options are good."
"2022/02/09 2:08:01 AM EST","2","4","clear view without distractions","nothing","3","clean view","top controls distract me )","1","nothing","too dark without sufficient contrast","3","bright and colorfull","colours distract from text","thank you for your work on SymPy."
"2022/02/09 2:31:13 AM EST","","2","Flat design, style uniformity accros sur the data exosystem, maintainability of a shared product","","2","","","4","The dark theme button is right here, I find this layout very easy on the eye","That it’s not more widely used in data science docs","2","Simple, effective","Seems devoid of personality, this theme is far too popular for its own good","Whichever theme you go with it’ll be an improvement. Thank you for taking the time to implement this and to ask for feedback !"
"2022/02/09 3:14:04 AM EST","3","2","The docstring rendering is easier to read than the old docs page. Better colors and less clutter. Fits on screen better.","The first thing I did was click ""API ref"" in the right side menu, but it didn't take me to a new page. I would expect selecting from a menu on the right would then show new content about that topic.

It needs more sympy colors to feel like sympy's documentation.

The front page is quite boring with only four big headers. If you look at matplotlib, numpy, pandas, etc. the front page is very engaging with the graphics and big buttons.

You have to click too many times to drill down to seeing an actual page with information on it. In the old docs you have a big ToC on the front page and one click usually gets you to useful information.

Most pages feel too short. Web browsers can scroll (infinitely). It's preferable to make longer pages with hyperlink targets and table of contents menus.","2","","I can't really tell the difference in this one and the first one I was shown. So all the same comments apply.","2","","Same comment as last. Looks practically the same as the prior two. Same comments apply.","4","I like this one the best! The menu on the left works as expected. You click and it takes you to a new page of info. And then the menu expands letting you quickly navigate to new relevant content. I think if that big blue square in the top left was sympy green (and probably other blues need to be swapped to greens) then we have a winner!","Needs green in colors. Needs more engaging front page. There is a lot of prose style docs (often module docstring) in the API. That really needs to be move into one of the other big 4 groups of the documentation. The api should strictly be the docstrings of classes, functions, etc. ","The first 3 all look the same and have poorly designed menus that don't function as expected. It also seems that there are two menus on some, which is confusing. The last one RTD is really the only one that looks functional to me."
"2022/02/09 12:56:10 PM EST","3","3","Readable, not a huge shift","White background, black text. Could use more links or tables of contents. ","3","I like the font","White background","4","Black background, clear font, THIS IS THE ONE","Nothing","2","Ehh","It’s not the fur theme","Please use that nice dark mode"
